"Control-1","Control-2","Control-3","Control-4","Treatment-1","Treatment-2","Treatment-3","Treatment-5"
20451,15108,14919,12745,20425,17644,10768,14069
2255,4783,3596,1305,1065,5432,3423,9301
0,0,129,510,0,34,61,36
5317,1167,679,622,2667,1225,976,672
122,1405,1023,872,52,838,1043,2917
78,1001,1655,1254,124,1593,1009,1018
0,19,524,483,21,41,35,20
11,1859,695,874,7,820,1957,535
45,890,877,483,60,619,892,419
40,744,1602,1752,586,525,514,375
0,0,18,108,0,0,0,0
97,137,589,492,189,495,490,327
5,3,227,858,437,32,50,71
4,45,178,244,0,145,85,87
245,131,248,260,495,189,189,101
31,41,399,732,34,154,319,96
0,0,9,602,0,2,0,9
0,37,0,0,30,0,43,10
0,170,37,760,0,256,231,147
206,95,197,257,531,134,137,82
855,8,175,86,0,269,268,138
0,108,0,0,1240,0,56,18
37,72,222,241,401,50,219,86
2,59,253,168,52,75,710,47
1078,17,39,20,115,31,128,29
49,174,205,71,11,449,439,238
0,0,0,1314,0,0,7,74
564,56,64,110,269,65,122,73
60,1120,6,14,57,19,329,31
29,53,658,230,41,126,304,100
19,16,210,109,14,38,39,33
0,0,8,68,0,0,245,0
3,40,213,129,1,395,230,195
1,213,213,203,0,302,191,115
0,0,0,0,0,0,0,0
6,109,231,180,12,52,171,77
0,0,0,0,0,0,0,0
0,357,160,180,0,147,172,96
14,2,0,4,28,4,9,8
0,211,175,129,0,101,161,81
0,0,0,5,0,0,0,0
0,0,0,0,0,0,6,0
67,91,46,27,380,30,46,27
0,9,0,0,3,0,16,1
0,0,126,796,0,27,18,20
0,178,0,0,0,0,61,51
329,0,257,0,0,0,221,0
55,138,99,0,31,160,106,247
0,0,0,0,0,0,0,0
0,2,3,116,0,0,0,104
0,76,0,0,438,0,45,0
9,58,62,54,43,134,154,68
0,0,0,0,0,0,0,0
35,27,253,151,64,48,84,41
5,65,66,223,0,191,99,119
36,42,112,56,15,61,239,47
0,0,0,0,0,0,13,0
1,70,71,261,146,7,26,34
3,14,100,215,10,72,61,56
6,101,15,34,18,46,103,45
0,352,0,0,0,136,124,78
0,0,0,0,0,0,2,0
0,0,0,0,0,0,11,349
0,24,184,163,111,26,33,27
0,33,7,57,36,0,19,21
35,36,72,130,144,28,23,22
30,115,61,37,91,36,107,36
69,12,20,23,149,11,32,7
15,47,159,171,24,68,31,33
38,24,76,111,64,16,64,28
0,0,22,14,0,0,0,0
0,0,7,0,0,0,6,1
10,41,58,162,18,27,30,30
68,35,45,49,63,45,79,45
0,0,0,0,0,0,450,0
45,38,12,23,141,5,53,47
37,18,22,21,62,69,90,179
0,60,35,7,20,3,151,16
34,96,19,31,110,37,76,18
0,27,102,236,3,68,34,41
0,40,33,18,5,0,129,15
0,0,0,0,0,0,4,0
176,35,6,0,119,17,31,7
4,32,81,133,19,13,65,19
130,6,20,37,1,6,19,13
0,70,26,31,77,0,22,44
0,0,0,0,0,0,0,0
13,20,1,13,0,6,20,19
0,0,0,0,0,0,2,0
0,0,156,160,0,20,26,33
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,7,108,32,2,3,170,6
0,0,4,469,0,0,0,0
0,0,0,0,0,0,301,0
0,0,0,0,0,0,0,0
1,45,3,10,41,0,216,16
99,62,17,18,22,12,92,14
22,134,8,3,0,94,72,46
1,8,24,218,0,0,39,3
12,75,35,15,0,67,59,73
0,0,0,0,0,0,5,0
0,64,55,20,69,33,51,29
0,21,0,0,0,0,82,16
0,0,0,0,0,0,0,0
11,0,84,90,0,57,38,44
91,0,22,22,3,24,39,14
115,12,16,19,27,4,21,0
0,0,0,0,0,0,12,0
0,42,0,0,0,0,0,0
43,8,36,24,8,15,109,17
5,27,54,32,2,22,12,24
0,273,19,2,0,32,39,13
150,66,6,4,36,13,21,4
78,15,16,6,21,75,75,19
3,11,27,95,122,6,12,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,270,0
0,0,0,0,215,0,0,0
129,0,3,0,79,3,12,4
0,0,0,0,0,0,4,0
0,27,0,0,0,0,0,7
0,0,0,0,0,0,2,0
0,0,0,0,224,0,0,0
7,10,85,85,6,6,62,6
12,161,0,0,26,15,34,25
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,13,49,106,1,34,45,22
1,23,21,15,0,14,102,19
0,9,0,0,72,0,40,9
8,15,0,0,33,0,50,24
34,27,37,22,53,14,36,12
0,8,0,0,175,0,0,0
131,0,3,6,0,6,15,0
0,16,21,10,10,25,96,18
15,12,22,5,111,13,15,0
28,8,22,23,17,14,30,11
0,0,0,0,0,0,0,0
0,9,0,5,0,0,7,0
0,78,59,0,15,0,54,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,61,136,0,14,6,10
0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0
0,0,0,0,0,0,4,0
17,13,21,42,54,11,16,8
0,0,0,0,0,0,0,0
42,34,0,0,17,0,85,0
0,0,0,0,0,0,0,0
58,0,6,18,27,15,45,0
46,0,32,0,26,25,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0
0,15,0,0,8,10,3,6
0,0,0,0,0,0,0,0
0,65,6,0,0,14,27,14
5,24,22,9,12,6,54,3
0,78,0,0,0,0,19,0
0,31,0,0,0,0,6,21
0,74,0,0,0,0,68,13
9,18,19,16,39,9,17,10
0,9,0,0,119,0,1,0
0,0,41,22,0,40,5,14
4,11,8,7,0,5,11,4
0,0,0,0,0,0,0,0
0,23,52,49,0,25,15,12
41,0,0,0,33,0,17,3
0,0,33,35,0,2,23,0
8,0,0,0,22,0,6,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4,0,19,11,0,6,3,0
0,5,46,10,0,3,44,6
0,8,0,0,81,0,11,0
9,8,2,19,14,0,0,9
8,83,15,0,15,16,13,10
0,31,0,0,36,0,65,5
0,25,0,34,0,0,18,5
0,0,0,0,0,0,0,0
0,8,0,0,98,0,0,0
0,0,0,0,0,37,64,23
0,0,9,9,0,0,8,0
59,0,0,0,18,0,0,0
8,107,0,0,5,8,15,0
0,0,0,0,0,0,0,0
4,5,0,8,19,2,71,4
0,5,13,47,0,0,35,0
5,18,10,5,9,7,23,5
0,7,0,0,0,0,48,25
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,59,29,0,0,0,48,0
0,0,0,0,0,0,4,2
0,9,22,28,0,49,10,12
0,0,4,6,0,0,0,1
0,0,0,57,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,7,8
0,0,0,0,0,0,0,0
0,40,0,0,10,8,40,0
0,0,12,33,7,0,46,8
3,0,0,0,7,0,88,0
0,0,0,0,0,0,0,0
0,2,0,0,0,0,8,0
0,0,56,41,0,0,3,3
0,0,0,5,0,5,60,6
0,0,0,0,0,0,86,2
23,8,1,0,25,4,5,11
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,57,51,0
0,0,0,0,0,0,0,0
5,21,7,15,11,0,14,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
51,0,0,0,14,0,0,0
5,7,16,21,2,8,22,4
0,0,11,7,0,45,13,23
0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0
7,0,22,21,0,9,21,3
0,6,0,0,69,0,0,0
0,20,0,0,0,0,0,0
0,3,0,0,0,0,5,10
0,0,7,8,26,0,0,1
0,0,0,0,0,0,0,0
0,9,24,12,3,12,20,5
0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,3,0,18,7
