"Control-1","Control-2","Control-3","Control-4","Treatment-1","Treatment-2","Treatment-3","Treatment-5"
37106,16111,23172,16753,45325,27602,20400,24194
4094,5099,5576,1731,2319,8643,6517,16002
0,0,200,670,0,53,123,58
9678,1242,1021,804,5979,1909,1852,1139
217,1523,1648,1138,116,1291,1916,5057
145,1065,2577,1633,274,2569,1868,1715
0,20,822,615,38,61,67,34
28,1997,1067,1170,29,1233,3785,940
83,963,1371,655,156,965,1663,734
66,794,2508,2332,1317,796,922,681
0,0,28,149,0,0,0,0
175,150,920,632,456,747,962,550
9,3,356,1117,1036,61,104,115
7,50,283,321,0,236,157,143
445,136,365,351,1186,319,352,169
58,45,611,981,92,231,676,187
0,0,26,811,0,4,0,16
0,39,0,0,67,0,83,21
0,183,59,1000,0,404,417,257
357,100,304,327,1192,215,256,155
1552,9,266,115,3,429,472,241
0,113,0,0,2837,0,112,28
63,76,342,310,875,91,406,155
4,63,382,227,117,127,1434,75
1954,17,55,28,297,52,249,52
100,184,348,106,28,732,802,384
0,0,0,1736,0,0,12,153
1010,62,113,134,587,103,240,121
90,1183,9,16,134,29,650,54
55,56,996,294,82,189,576,162
25,16,342,141,29,79,75,58
0,0,20,88,0,0,445,0
5,42,337,174,5,612,440,311
4,226,333,252,0,448,371,206
0,0,0,0,0,0,0,0
15,116,370,221,38,87,306,123
0,0,0,0,0,0,0,0
0,377,242,226,0,234,340,165
32,2,0,4,65,6,16,11
0,222,281,170,0,187,332,150
0,0,0,8,0,0,0,0
0,0,0,0,0,0,12,0
114,100,64,40,817,47,116,52
0,9,0,0,6,0,29,4
0,0,202,1049,0,40,46,24
0,190,0,0,0,0,109,90
586,0,383,0,0,0,402,0
98,144,152,0,68,255,193,421
0,0,0,0,0,0,0,0
0,2,5,150,0,0,0,168
0,81,0,0,971,0,83,0
13,59,111,78,79,201,298,118
0,0,0,0,0,0,0,0
56,28,382,197,124,75,181,67
9,72,105,291,0,303,185,188
53,47,174,80,26,101,411,71
0,0,0,0,0,0,15,0
2,72,115,356,311,10,50,61
9,14,157,305,29,110,129,90
15,111,23,41,31,75,187,76
0,388,0,0,0,233,235,133
0,0,0,0,0,0,6,0
0,0,0,0,0,0,24,614
0,26,320,220,221,42,50,43
0,34,22,76,71,0,31,30
74,38,98,169,330,42,49,41
51,119,90,46,178,60,208,77
123,13,27,26,334,16,57,15
29,50,259,225,52,100,58,53
61,26,114,136,124,24,112,55
0,0,30,21,0,0,0,0
0,0,9,0,0,0,14,6
14,42,99,206,37,48,63,53
124,35,72,67,150,66,163,83
0,0,0,0,0,0,859,0
85,38,22,25,305,9,101,95
67,19,35,28,120,109,155,289
0,64,59,11,51,4,287,21
66,102,28,44,263,49,148,32
0,29,151,302,9,109,75,70
0,41,59,29,10,0,227,21
0,0,0,0,0,0,8,0
306,37,9,0,253,28,61,10
14,33,123,178,43,17,137,31
274,7,39,48,6,8,29,22
0,73,38,41,153,0,55,62
0,0,0,0,0,0,0,0
28,20,3,18,4,11,38,26
0,0,0,0,0,0,9,0
0,0,254,217,0,32,52,50
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,7,162,45,12,6,321,7
0,0,4,626,0,0,0,0
0,0,0,0,0,0,561,0
0,0,0,0,0,0,0,0
2,48,6,12,89,0,385,27
167,68,31,21,50,20,179,21
43,144,11,5,0,135,146,76
3,9,38,322,0,0,78,4
21,78,59,21,0,109,116,116
0,0,0,0,0,0,14,0
0,66,88,29,164,55,99,43
0,23,0,0,0,0,162,45
0,0,0,0,0,0,0,0
27,0,134,123,0,90,72,66
142,0,34,33,6,33,70,22
187,13,30,32,40,8,41,0
0,0,0,0,0,0,19,0
0,46,0,0,0,0,0,0
75,8,65,38,18,20,232,32
10,27,91,47,8,36,22,38
0,299,33,2,0,50,81,23
274,73,9,4,81,24,38,15
123,16,28,9,41,118,143,36
6,13,48,131,265,9,22,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,491,0
0,0,0,0,468,0,0,0
